Step        Dt          Time        Progress    
171         0.000186026 0.0274793   5%          
172         0.000186026 0.0276653   5%          
173         0.000186026 0.0278513   5%          
174         0.000114162 0.0279655   5%          
175         0.000101247 0.0280667   5%          
176         0.000243395 0.0283101   5%          
177         0.000182955 0.0284931   5%          
178         0.000182955 0.028676    5%          
179         0.000182955 0.028859    5%          
180         0.000182955 0.029042    5%          
181         0.000182955 0.0292249   5%          
182         0.000288537 0.0295134   5%          
183         5.5393e-05  0.0295688   5%          
184         5.5393e-05  0.0296242   5%          
185         9.22047e-05 0.0297164   5%          
186         9.22047e-05 0.0298086   5%          
187         0.000168269 0.0299769   5%          
188         0.000168269 0.0301452   6%          
189         0.000326044 0.0304712   6%          
190         0.000326044 0.0307973   6%          
191         0.000326044 0.0311233   6%          
192         0.000326044 0.0314494   6%          
193         0.000326044 0.0317754   6%          
194         0.000326044 0.0321014   6%          
195         0.000326044 0.0324275   6%          
196         0.000326044 0.0327535   6%          
197         0.000326044 0.0330796   6%          
198         0.000326044 0.0334056   6%          
199         0.000326044 0.0337317   6%          
200         0.000277202 0.0340089   6%          
201         0.00025991  0.0342688   6%          
202         0.00025991  0.0345287   6%          
203         0.00025991  0.0347886   6%          
204         0.000248184 0.0350368   7%          
205         0.000248184 0.035285    7%          
206         0.000198565 0.0354835   7%          
207         0.000185639 0.0356692   7%          
208         3.51358e-05 0.0357043   7%          
209         3.51358e-05 0.0357394   7%          
210         5.79295e-05 0.0357974   7%          
211         5.79295e-05 0.0358553   7%          
212         0.000106194 0.0359615   7%          
213         0.000106194 0.0360677   7%          
214         0.000200587 0.0362683   7%          
215         0.000155668 0.0364239   7%          
216         0.000137117 0.0365611   7%          
217         0.000137117 0.0366982   7%          
218         0.000137117 0.0368353   7%          
219         0.000221594 0.0370569   7%          
220         0.000221594 0.0372785   7%          
221         0.000221594 0.0375001   7%          
222         0.000221594 0.0377217   7%          
223         0.000221594 0.0379433   7%          
224         0.000221594 0.0381649   7%          
225         0.000221594 0.0383864   7%          
226         0.000221594 0.038608    7%          
227         0.000221594 0.0388296   7%          
228         0.000221594 0.0390512   7%          
229         0.000221594 0.0392728   7%          
230         0.000344991 0.0396178   7%          
231         0.000344991 0.0399628   7%          
232         6.18773e-05 0.0400247   8%          
233         6.18773e-05 0.0400866   8%          
234         0.000100917 0.0401875   8%          
235         0.000100917 0.0402884   8%          
236         0.000190179 0.0404786   8%          
237         0.000190179 0.0406688   8%          
238         0.000365627 0.0410344   8%          
239         0.000365627 0.0414      8%          
240         0.000365627 0.0417656   8%          
241         0.000306708 0.0420723   8%          
242         0.000360286 0.0424326   8%          
243         0.000297611 0.0427302   8%          
244         0.000297611 0.0430279   8%          
245         0.000297611 0.0433255   8%          
246         0.000297611 0.0436231   8%          
247         0.000297611 0.0439207   8%          
248         0.000297611 0.0442183   8%          
249         0.000297611 0.0445159   8%          
250         0.000297611 0.0448135   8%          
251         0.000297611 0.0451111   9%          
252         0.000297611 0.0454087   9%          
253         0.000297611 0.0457064   9%          
254         5.57459e-05 0.0457621   9%          
255         5.57459e-05 0.0458178   9%          
256         8.77147e-05 0.0459056   9%          
257         8.77147e-05 0.0459933   9%          
258         0.000164701 0.046158    9%          
259         0.000164701 0.0463227   9%          
260         0.000164701 0.0464874   9%          
261         0.000164701 0.0466521   9%          
262         0.000264216 0.0469163   9%          
263         0.000264216 0.0471805   9%          
264         0.000260024 0.0474405   9%          
265         0.000260024 0.0477006   9%          
266         0.000260024 0.0479606   9%          
267         0.000161837 0.0481224   9%          
268         0.000127347 0.0482498   9%          
269         0.000194096 0.0484439   9%          
270         0.000174716 0.0486186   9%          
271         0.000174716 0.0487933   9%          
272         0.000174716 0.048968    9%          
273         0.000174716 0.0491427   9%          
274         0.000287581 0.0494303   9%          
275         0.000287581 0.0497179   9%          
276         3.92884e-05 0.0497572   9%          
277         3.92884e-05 0.0497965   9%          
