"Time","avg(Y)","std(Y)"
0,0.025287,0.0031319
0.002217,0.12734,0.0011923
0.00443,0.17739,0.0010291
0.006195,0.20817,0.00067126
0.0087142,0.2463,0.0010419
0.011402,0.28111,0.0012499
0.013666,0.30703,0.0011039
0.015606,0.32793,0.0012868
0.018792,0.35915,0.0012108
0.02128,0.38206,0.0014459
0.024838,0.41213,0.0013112
0.026768,0.42777,0.0014496
0.029072,0.44563,0.0016605
0.031355,0.46252,0.0015482
0.033765,0.47974,0.0015755
0.035959,0.49499,0.0018396
0.038175,0.50983,0.0017747
0.04012,0.52244,0.0016996
