"Time","avg(Y)","std(Y)"
0,0.025287,0.0031319
0.002217,0.12734,0.0011923
0.00443,0.17739,0.0010291
0.006195,0.20817,0.00067126
0.008715,0.24631,0.001035
0.011365,0.28064,0.0012322
0.013324,0.30329,0.0011028
0.015497,0.32674,0.0012361
0.018295,0.35444,0.0011887
0.020582,0.37568,0.0013104
0.022707,0.39444,0.0014741
0.025636,0.41873,0.0014341
0.02756,0.43398,0.001528
0.030054,0.45296,0.0016158
0.03206,0.46762,0.0015262
0.034963,0.48814,0.0017094
0.037593,0.50593,0.0017786
0.039718,0.51984,0.0016972
0.040129,0.52248,0.0016958
