"Time","avg(Y)","std(Y)"
0,0.025287,0.0031319
0.002217,0.12734,0.0011923
0.0042457,0.17381,0.0010512
0.0061946,0.20815,0.00070009
0.008632,0.24518,0.0010722
0.011349,0.28046,0.001239
0.013242,0.3024,0.0011236
0.015591,0.32775,0.0012907
0.017774,0.34955,0.0012697
0.019924,0.36975,0.0013162
0.022432,0.39211,0.0015104
0.025371,0.41656,0.0013929
0.02753,0.43375,0.0015382
0.030091,0.45323,0.0016275
0.032197,0.4686,0.0015441
0.034577,0.48536,0.0015852
0.037231,0.50349,0.0018095
0.039361,0.51752,0.0017092
0.040103,0.5223,0.001707
