"Time","avg(Y)","std(Y)"
0,0.025287,0.0031319
0.002217,0.12734,0.0011923
0.00443,0.17739,0.0010291
0.006195,0.20817,0.00067126
0.0087171,0.24633,0.0010382
0.011326,0.28016,0.0012391
0.013216,0.30211,0.001107
0.015483,0.3266,0.0012487
0.018801,0.35922,0.0012123
0.020866,0.37821,0.0013219
0.023052,0.3974,0.0014854
0.025557,0.41809,0.0014367
0.027602,0.43432,0.0015683
0.030126,0.45348,0.0016244
0.032174,0.46844,0.0015443
0.035063,0.48884,0.0017492
0.037642,0.50625,0.0017819
0.039717,0.51984,0.0017084
0.040124,0.52245,0.0017065
