"Time","avg(Y)","std(Y)"
0,0.025287,0.0031319
0.0022007,0.12692,0.0012224
0.0042666,0.17425,0.0010849
0.0062049,0.20834,0.00067396
0.007649,0.23122,0.001129
0.0095017,0.25672,0.0008969
0.01144,0.28151,0.0012642
0.013402,0.30407,0.0011137
0.015544,0.32717,0.001269
0.017692,0.34868,0.0012779
0.019944,0.36983,0.0013046
0.021354,0.38261,0.0014593
0.023551,0.40144,0.0014434
0.025656,0.41876,0.001429
0.027083,0.43006,0.0014334
0.029288,0.44708,0.0016418
0.031188,0.46113,0.0015405
0.033778,0.47964,0.001562
0.035616,0.49246,0.0018007
0.038088,0.50903,0.0017471
0.03981,0.52021,0.0016753
0.040058,0.52181,0.0016751
