Step        Dt          Time        Progress    
1           3.43226e-09 3.43226e-09 0%          
2           2.82608e-07 2.8604e-07  0%          
3           4.55644e-06 4.84248e-06 0%          
4           1.88227e-05 2.36651e-05 0%          
5           5.93681e-05 8.30332e-05 0%          
6           2.11791e-05 0.000104212 0%          
7           1.53831e-05 0.000119595 0%          
8           1.53831e-05 0.000134979 0%          
9           3.22004e-05 0.000167179 0%          
10          3.22004e-05 0.000199379 0%          
11          5.50646e-05 0.000254444 0%          
12          5.50646e-05 0.000309509 0%          
13          5.50646e-05 0.000364573 0%          
14          5.50646e-05 0.000419638 0%          
15          6.38053e-05 0.000483443 0%          
16          5.70591e-05 0.000540502 1%          
17          5.70591e-05 0.000597561 1%          
18          5.70591e-05 0.00065462  1%          
19          5.70591e-05 0.00071168  1%          
20          9.14051e-05 0.000803085 1%          
21          9.14051e-05 0.00089449  1%          
22          7.51352e-05 0.000969625 1%          
23          6.73873e-05 0.00103701  2%          
24          6.73873e-05 0.0011044   2%          
25          6.73873e-05 0.00117179  2%          
26          6.73873e-05 0.00123917  2%          
27          0.0001      0.00133917  2%          
28          7.78963e-05 0.00141707  2%          
29          5.28514e-05 0.00146992  2%          
30          5.28514e-05 0.00152277  3%          
31          5.28514e-05 0.00157562  3%          
32          7.9878e-05  0.0016555   3%          
33          4.96055e-05 0.00170511  3%          
34          4.96055e-05 0.00175471  3%          
35          4.96055e-05 0.00180432  3%          
36          7.81227e-05 0.00188244  3%          
37          7.81227e-05 0.00196056  3%          
38          0.0001      0.00206056  4%          
39          7.80888e-05 0.00213865  4%          
40          7.80888e-05 0.00221674  4%          
41          7.80888e-05 0.00229483  4%          
42          7.80888e-05 0.00237292  4%          
43          0.0001      0.00247292  4%          
44          0.0001      0.00257292  5%          
45          0.0001      0.00267292  5%          
46          0.0001      0.00277292  5%          
47          0.0001      0.00287292  5%          
48          0.0001      0.00297292  5%          
49          0.0001      0.00307292  6%          
50          0.0001      0.00317292  6%          
51          0.0001      0.00327292  6%          
52          7.10005e-05 0.00334392  6%          
53          7.10005e-05 0.00341492  6%          
54          7.10005e-05 0.00348592  6%          
55          0.0001      0.00358592  7%          
56          0.0001      0.00368592  7%          
57          0.0001      0.00378592  7%          
58          0.0001      0.00388592  7%          
59          0.0001      0.00398592  7%          
60          0.0001      0.00408592  8%          
61          8.92189e-05 0.00417514  8%          
62          0.0001      0.00427514  8%          
63          0.0001      0.00437514  8%          
64          8.85308e-05 0.00446367  8%          
65          0.0001      0.00456367  9%          
66          0.0001      0.00466367  9%          
67          0.0001      0.00476367  9%          
68          0.0001      0.00486367  9%          
69          0.0001      0.00496367  9%          
70          0.0001      0.00506367  10%         
71          0.0001      0.00516367  10%         
72          0.0001      0.00526367  10%         
73          0.0001      0.00536367  10%         
74          0.0001      0.00546367  10%         
75          7.55782e-05 0.00553925  11%         
76          0.0001      0.00563925  11%         
77          0.0001      0.00573925  11%         
78          0.0001      0.00583925  11%         
79          0.0001      0.00593925  11%         
80          0.0001      0.00603925  12%         
81          0.0001      0.00613925  12%         
82          0.0001      0.00623925  12%         
83          0.0001      0.00633925  12%         
84          0.0001      0.00643925  12%         
85          0.0001      0.00653925  13%         
86          0.0001      0.00663925  13%         
87          0.0001      0.00673925  13%         
88          0.0001      0.00683925  13%         
89          0.0001      0.00693925  13%         
90          0.0001      0.00703925  14%         
91          0.0001      0.00713925  14%         
92          0.0001      0.00723925  14%         
