Step        Dt          Time        Progress    
1           3.28706e-06 3.28706e-06 0%          
2           5.1691e-05  5.49781e-05 0%          
3           3.64141e-05 9.13921e-05 0%          
4           0.000102677 0.000194069 0%          
5           8.09318e-05 0.000275    0%          
6           0.000151956 0.000426956 0%          
7           0.000268995 0.000695951 0%          
8           0.000268995 0.000964946 0%          
9           0.000429612 0.00139456  0%          
10          0.000429612 0.00182417  0%          
11          0.000429612 0.00225378  0%          
12          0.000429612 0.00268339  0%          
13          0.000429612 0.00311301  0%          
14          0.000429612 0.00354262  0%          
15          0.000429612 0.00397223  0%          
16          0.000429612 0.00440184  0%          
17          0.000429612 0.00483146  0%          
18          0.000429612 0.00526107  0%          
19          0.000656414 0.00591748  0%          
20          0.000656414 0.0065739   0%          
21          0.000656414 0.00723031  0%          
22          0.000491265 0.00772157  0%          
23          0.000450935 0.00817251  0%          
24          0.000450935 0.00862344  0%          
25          0.000450935 0.00907438  0%          
26          0.000416964 0.00949134  0%          
27          0.000416964 0.00990831  0%          
28          0.000416964 0.0103253   1%          
29          0.000416964 0.0107422   1%          
30          0.000416964 0.0111592   1%          
31          0.000416964 0.0115762   1%          
32          0.000416964 0.0119931   1%          
33          0.000416964 0.0124101   1%          
34          0.000416964 0.0128271   1%          
35          0.000416964 0.013244    1%          
36          0.000416964 0.013661    1%          
37          0.000416964 0.014078    1%          
38          0.000416964 0.0144949   1%          
39          0.000416964 0.0149119   1%          
40          0.000416964 0.0153288   1%          
41          0.000416964 0.0157458   1%          
42          0.000416964 0.0161628   1%          
43          0.000416964 0.0165797   1%          
44          0.000416964 0.0169967   1%          
45          0.000416964 0.0174137   1%          
46          0.000416964 0.0178306   1%          
47          0.000416964 0.0182476   1%          
48          0.000416964 0.0186646   1%          
49          0.000416964 0.0190815   1%          
50          0.000670518 0.019752    1%          
51          0.000541703 0.0202937   2%          
52          0.000573408 0.0208672   2%          
53          0.000573408 0.0214406   2%          
54          0.000573408 0.022014    2%          
55          0.000573408 0.0225874   2%          
56          0.000571167 0.0231585   2%          
57          0.000571167 0.0237297   2%          
58          0.000573707 0.0243034   2%          
59          0.000573707 0.0248771   2%          
60          0.000548356 0.0254255   2%          
61          0.000548356 0.0259738   2%          
62          0.000559402 0.0265332   2%          
63          0.000559402 0.0270926   2%          
64          0.000559402 0.027652    2%          
65          0.000559402 0.0282114   2%          
66          0.000568593 0.02878     2%          
67          0.000568593 0.0293486   2%          
68          0.000547941 0.0298966   2%          
69          0.000547941 0.0304445   3%          
70          0.000547941 0.0309924   3%          
71          0.000547941 0.0315404   3%          
72          0.000530356 0.0320707   3%          
73          0.000530356 0.0326011   3%          
74          0.000531079 0.0331322   3%          
75          0.000531079 0.0336633   3%          
76          0.000403188 0.0340664   3%          
77          0.000374349 0.0344408   3%          
78          0.000424134 0.0348649   3%          
79          0.000424134 0.0352891   3%          
80          0.000424134 0.0357132   3%          
81          0.000424134 0.0361373   3%          
82          0.000366859 0.0365042   3%          
83          0.000330289 0.0368345   3%          
84          0.000370326 0.0372048   3%          
85          0.000364675 0.0375695   3%          
86          0.000364675 0.0379342   3%          
87          0.000364675 0.0382988   3%          
88          0.000364675 0.0386635   3%          
89          0.000370014 0.0390335   3%          
90          0.000367417 0.0394009   3%          
91          0.000367417 0.0397684   3%          
92          0.000335323 0.0401037   4%          
93          0.000335323 0.040439    4%          
94          0.000335323 0.0407743   4%          
95          0.000335323 0.0411096   4%          
96          0.000335323 0.041445    4%          
97          0.000335323 0.0417803   4%          
98          0.000335323 0.0421156   4%          
99          0.000335323 0.0424509   4%          
100         0.000335323 0.0427863   4%          
101         0.000335323 0.0431216   4%          
