DOFs            h               L2 error        
287             0.813           2.157e-07       
1085            0.4065          2.716e-08       
4217            0.2033          3.408e-09       
16625           0.1016          4.268e-10       
66017           0.05082         5.34e-11        
263105          0.02541         6.678e-12       
1050497         0.0127          8.352e-13       
4198145         0.006352        1.761e-13       
