Step        Dt          Time        Progress    
159         1.17151e-05 0.00637831  12%         
160         1.17151e-05 0.00639002  12%         
161         2.28529e-05 0.00641288  12%         
162         3.99543e-05 0.00645283  12%         
163         6.79411e-05 0.00652077  13%         
164         5.21494e-05 0.00657292  13%         
165         5.21494e-05 0.00662507  13%         
166         5.21494e-05 0.00667722  13%         
167         1.10931e-05 0.00668831  13%         
168         1.10931e-05 0.00669941  13%         
169         1.9504e-05  0.00671891  13%         
170         1.9504e-05  0.00673841  13%         
171         4.20158e-05 0.00678043  13%         
172         4.08985e-05 0.00682133  13%         
173         4.08985e-05 0.00686223  13%         
174         4.97406e-05 0.00691197  13%         
175         4.16362e-05 0.0069536   13%         
176         6.26745e-05 0.00701628  14%         
177         5.05144e-05 0.00706679  14%         
178         5.05144e-05 0.00711731  14%         
179         4.13524e-05 0.00715866  14%         
180         3.76163e-05 0.00719627  14%         
181         3.76163e-05 0.00723389  14%         
182         6.9749e-05  0.00730364  14%         
183         6.46668e-05 0.00736831  14%         
184         6.46668e-05 0.00743297  14%         
185         5.70123e-05 0.00748999  14%         
186         5.70123e-05 0.007547    15%         
187         5.25727e-05 0.00759957  15%         
188         5.25727e-05 0.00765214  15%         
189         4.84752e-05 0.00770062  15%         
190         4.84752e-05 0.00774909  15%         
191         4.84752e-05 0.00779757  15%         
192         4.84752e-05 0.00784604  15%         
193         4.84752e-05 0.00789452  15%         
194         4.49506e-05 0.00793947  15%         
195         5.10393e-05 0.00799051  15%         
196         4.44294e-05 0.00803494  16%         
197         4.44294e-05 0.00807937  16%         
198         5.40915e-05 0.00813346  16%         
199         4.64457e-05 0.00817991  16%         
200         4.64457e-05 0.00822635  16%         
201         4.64457e-05 0.0082728   16%         
202         4.64457e-05 0.00831924  16%         
203         4.64457e-05 0.00836569  16%         
204         3.96543e-05 0.00840534  16%         
205         7.29104e-05 0.00847825  16%         
206         4.94178e-05 0.00852767  17%         
207         4.94178e-05 0.00857709  17%         
208         4.94178e-05 0.00862651  17%         
209         4.94178e-05 0.00867592  17%         
210         8.88272e-06 0.00868481  17%         
211         8.88272e-06 0.00869369  17%         
212         1.43363e-05 0.00870803  17%         
213         2.17119e-05 0.00872974  17%         
214         3.74668e-05 0.0087672   17%         
215         3.71728e-05 0.00880438  17%         
216         3.71728e-05 0.00884155  17%         
217         6.86548e-05 0.0089102   17%         
218         5.70826e-05 0.00896729  17%         
219         4.67833e-05 0.00901407  18%         
220         4.67833e-05 0.00906085  18%         
221         4.32336e-05 0.00910409  18%         
222         4.32336e-05 0.00914732  18%         
223         4.32336e-05 0.00919055  18%         
224         4.32336e-05 0.00923379  18%         
225         8.13175e-05 0.00931511  18%         
226         8.13175e-05 0.00939642  18%         
227         7.76654e-05 0.00947409  18%         
228         1.74888e-05 0.00949158  18%         
229         1.74888e-05 0.00950907  19%         
230         1.74888e-05 0.00952656  19%         
231         1.53928e-05 0.00954195  19%         
232         4.2299e-05  0.00958425  19%         
233         4.08352e-05 0.00962508  19%         
234         4.08352e-05 0.00966592  19%         
235         4.08352e-05 0.00970675  19%         
236         3.37387e-05 0.00974049  19%         
237         3.37387e-05 0.00977423  19%         
238         3.37387e-05 0.00980797  19%         
239         3.37387e-05 0.00984171  19%         
240         3.37387e-05 0.00987545  19%         
241         6.97627e-05 0.00994521  19%         
242         5.32782e-05 0.00999849  19%         
243         3.5131e-05  0.0100336   20%         
244         3.5131e-05  0.0100687   20%         
245         3.5131e-05  0.0101039   20%         
246         3.5131e-05  0.010139    20%         
247         3.5131e-05  0.0101741   20%         
248         5.29411e-05 0.0102271   20%         
249         5.29411e-05 0.01028     20%         
250         5.29411e-05 0.010333    20%         
251         5.29411e-05 0.0103859   20%         
252         4.10943e-05 0.010427    20%         
253         4.10943e-05 0.0104681   20%         
254         4.08324e-05 0.0105089   21%         
255         4.08324e-05 0.0105498   21%         
256         4.08324e-05 0.0105906   21%         
257         4.08324e-05 0.0106314   21%         
258         3.67867e-05 0.0106682   21%         
259         3.89412e-05 0.0107072   21%         
260         3.32539e-05 0.0107404   21%         
261         3.32539e-05 0.0107737   21%         
262         3.32539e-05 0.0108069   21%         
263         3.32539e-05 0.0108402   21%         
264         3.18019e-05 0.010872    21%         
265         2.51109e-05 0.0108971   21%         
266         4.07413e-05 0.0109378   21%         
267         3.66383e-05 0.0109745   21%         
268         3.66383e-05 0.0110111   22%         
269         3.66383e-05 0.0110477   22%         
270         3.66383e-05 0.0110844   22%         
271         3.25358e-05 0.0111169   22%         
272         5.26452e-05 0.0111696   22%         
273         5.26452e-05 0.0112222   22%         
274         5.26452e-05 0.0112748   22%         
275         5.26452e-05 0.0113275   22%         
276         4.70912e-05 0.0113746   22%         
277         4.70912e-05 0.0114217   22%         
278         4.70912e-05 0.0114688   22%         
279         4.70912e-05 0.0115159   23%         
280         4.50197e-05 0.0115609   23%         
281         8.80004e-06 0.0115697   23%         
282         8.80004e-06 0.0115785   23%         
283         1.39774e-05 0.0115925   23%         
284         1.39774e-05 0.0116064   23%         
285         2.45308e-05 0.011631    23%         
286         2.45308e-05 0.0116555   23%         
287         3.01697e-05 0.0116857   23%         
288         2.29702e-05 0.0117086   23%         
289         4.92227e-05 0.0117579   23%         
290         4.92227e-05 0.0118071   23%         
291         4.92227e-05 0.0118563   23%         
292         4.92227e-05 0.0119055   23%         
293         4.92227e-05 0.0119547   23%         
294         4.92227e-05 0.012004    24%         
295         9.05813e-05 0.0120945   24%         
296         6.77199e-05 0.0121623   24%         
297         0.000105624 0.0122679   24%         
298         0.000105624 0.0123735   24%         
299         2.23173e-05 0.0123958   24%         
300         2.23173e-05 0.0124182   24%         
301         2.23173e-05 0.0124405   24%         
302         4.91121e-05 0.0124896   24%         
303         4.91121e-05 0.0125387   25%         
304         4.91121e-05 0.0125878   25%         
305         8.25709e-05 0.0126704   25%         
306         6.5357e-05  0.0127357   25%         
307         4.79018e-05 0.0127836   25%         
308         4.14584e-05 0.0128251   25%         
309         4.14584e-05 0.0128666   25%         
310         4.14584e-05 0.012908    25%         
311         4.14584e-05 0.0129495   25%         
312         3.88411e-05 0.0129883   25%         
313         7.09614e-05 0.0130593   26%         
314         7.09614e-05 0.0131302   26%         
315         6.95478e-05 0.0131998   26%         
316         6.95478e-05 0.0132693   26%         
317         6.29151e-05 0.0133322   26%         
318         6.29151e-05 0.0133952   26%         
319         5.13523e-05 0.0134465   26%         
320         4.69506e-05 0.0134935   26%         
321         4.69506e-05 0.0135404   27%         
322         1.6699e-06  0.0135421   27%         
323         1.6699e-06  0.0135438   27%         
324         2.99502e-06 0.0135467   27%         
325         2.99502e-06 0.0135497   27%         
326         5.80478e-06 0.0135555   27%         
327         5.80478e-06 0.0135614   27%         
328         1.44023e-05 0.0135758   27%         
329         2.40857e-05 0.0135998   27%         
330         4.31212e-05 0.013643    27%         
331         4.31212e-05 0.0136861   27%         
332         4.31212e-05 0.0137292   27%         
333         4.31212e-05 0.0137723   27%         
334         3.2618e-05  0.0138049   27%         
335         2.9267e-05  0.0138342   27%         
336         2.9267e-05  0.0138635   27%         
337         2.9267e-05  0.0138927   27%         
338         2.9267e-05  0.013922    27%         
339         5.16438e-05 0.0139737   27%         
340         3.82518e-05 0.0140119   28%         
341         3.82518e-05 0.0140502   28%         
342         3.82518e-05 0.0140884   28%         
343         6.42714e-05 0.0141527   28%         
344         2.88353e-05 0.0141815   28%         
345         2.61646e-05 0.0142077   28%         
346         3.94722e-05 0.0142472   28%         
347         6.33011e-05 0.0143105   28%         
348         4.96326e-05 0.0143601   28%         
349         4.96326e-05 0.0144097   28%         
350         4.96326e-05 0.0144594   28%         
351         4.96326e-05 0.014509    29%         
352         4.96326e-05 0.0145586   29%         
353         4.55857e-05 0.0146042   29%         
354         4.55857e-05 0.0146498   29%         
355         4.55857e-05 0.0146954   29%         
356         3.36407e-05 0.014729    29%         
357         3.36407e-05 0.0147627   29%         
358         5.39371e-05 0.0148166   29%         
359         5.39371e-05 0.0148705   29%         
360         4.98114e-05 0.0149203   29%         
361         3.74261e-05 0.0149578   29%         
362         3.74261e-05 0.0149952   29%         
363         3.59852e-05 0.0150312   30%         
364         6.35783e-05 0.0150948   30%         
365         6.34481e-05 0.0151582   30%         
366         6.34481e-05 0.0152217   30%         
367         6.34481e-05 0.0152851   30%         
368         6.34481e-05 0.0153485   30%         
369         5.31411e-05 0.0154017   30%         
370         5.31411e-05 0.0154548   30%         
371         2.98018e-05 0.0154846   30%         
372         1.86708e-05 0.0155033   31%         
373         1.86708e-05 0.015522    31%         
374         1.86708e-05 0.0155406   31%         
375         3.17342e-05 0.0155724   31%         
376         3.17342e-05 0.0156041   31%         
377         5.36066e-05 0.0156577   31%         
378         5.36066e-05 0.0157113   31%         
379         8.9622e-06  0.0157203   31%         
380         8.9622e-06  0.0157293   31%         
381         1.50476e-05 0.0157443   31%         
382         1.50476e-05 0.0157593   31%         
383         2.88511e-05 0.0157882   31%         
384         2.88511e-05 0.015817    31%         
385         4.93012e-05 0.0158664   31%         
386         4.04861e-05 0.0159068   31%         
387         3.34617e-05 0.0159403   31%         
388         3.34617e-05 0.0159738   31%         
389         3.34617e-05 0.0160072   32%         
390         3.34617e-05 0.0160407   32%         
391         3.34617e-05 0.0160741   32%         
392         3.34617e-05 0.0161076   32%         
393         3.02106e-05 0.0161378   32%         
394         5.24674e-05 0.0161903   32%         
395         4.56469e-05 0.0162359   32%         
396         9.46792e-06 0.0162454   32%         
397         9.46792e-06 0.0162549   32%         
398         1.5663e-05  0.0162705   32%         
399         2.53767e-05 0.0162959   32%         
400         2.53767e-05 0.0163213   32%         
401         2.53767e-05 0.0163467   32%         
402         3.81728e-05 0.0163848   32%         
403         3.73131e-05 0.0164221   32%         
404         3.73131e-05 0.0164595   32%         
405         3.73131e-05 0.0164968   32%         
406         3.73131e-05 0.0165341   33%         
407         3.73131e-05 0.0165714   33%         
408         6.4915e-06  0.0165779   33%         
409         6.4915e-06  0.0165844   33%         
410         1.00046e-05 0.0165944   33%         
411         1.00046e-05 0.0166044   33%         
412         2.04959e-05 0.0166249   33%         
413         3.08239e-05 0.0166557   33%         
414         3.08239e-05 0.0166865   33%         
415         2.45544e-05 0.0167111   33%         
416         2.45544e-05 0.0167356   33%         
417         2.16215e-05 0.0167573   33%         
418         3.30971e-05 0.0167904   33%         
419         2.11818e-05 0.0168115   33%         
420         2.11818e-05 0.0168327   33%         
421         2.11818e-05 0.0168539   33%         
422         2.11818e-05 0.0168751   33%         
423         2.03379e-05 0.0168954   33%         
424         5.40793e-06 0.0169008   33%         
425         3.10424e-06 0.0169039   33%         
426         3.10424e-06 0.016907    33%         
427         7.09113e-06 0.0169141   33%         
428         7.09113e-06 0.0169212   33%         
429         1.50788e-05 0.0169363   33%         
430         1.50788e-05 0.0169514   33%         
431         2.74105e-05 0.0169788   33%         
432         2.01289e-05 0.0169989   33%         
433         1.74779e-05 0.0170164   34%         
434         1.74779e-05 0.0170339   34%         
435         2.68372e-05 0.0170607   34%         
436         4.25214e-05 0.0171032   34%         
437         3.96051e-05 0.0171428   34%         
438         3.96051e-05 0.0171824   34%         
439         3.96051e-05 0.0172221   34%         
440         7.22691e-06 0.0172293   34%         
441         4.00084e-06 0.0172333   34%         
442         4.00084e-06 0.0172373   34%         
443         9.31963e-06 0.0172466   34%         
