Step        Dt          Time        Progress    
173         0.00117716  0.0740688   3%          
174         0.00105924  0.075128    3%          
175         0.00103282  0.0761608   3%          
176         0.000198601 0.0763594   3%          
177         0.000198601 0.076558    3%          
178         0.000327459 0.0768855   3%          
179         0.000541485 0.077427    3%          
180         0.000473216 0.0779002   3%          
181         0.000473216 0.0783734   3%          
182         0.000418433 0.0787918   3%          
183         0.000898623 0.0796905   3%          
184         0.000749298 0.0804398   4%          
185         0.000678219 0.081118    4%          
186         0.000678219 0.0817962   4%          
187         0.000603142 0.0823993   4%          
188         0.000502339 0.0829017   4%          
189         0.000502339 0.083404    4%          
190         0.000502339 0.0839064   4%          
191         0.000502339 0.0844087   4%          
192         0.000456913 0.0848656   4%          
193         0.000781212 0.0856468   4%          
194         0.00060391  0.0862507   4%          
195         0.00060391  0.0868546   4%          
196         0.000603527 0.0874582   4%          
197         0.000603527 0.0880617   4%          
198         0.000535576 0.0885973   4%          
199         0.000535576 0.0891329   4%          
200         0.000535576 0.0896684   4%          
201         0.000535576 0.090204    4%          
202         0.000497167 0.0907012   4%          
203         0.000497167 0.0911983   4%          
204         0.000432196 0.0916305   4%          
205         0.000790112 0.0924206   4%          
206         0.000631106 0.0930518   4%          
207         0.000631106 0.0936829   4%          
208         0.000628171 0.094311    4%          
209         0.000628171 0.0949392   4%          
210         0.000578551 0.0955178   4%          
211         0.000578551 0.0960963   4%          
212         0.000131124 0.0962274   4%          
213         0.000131124 0.0963586   4%          
214         0.0002403   0.0965989   4%          
215         0.000394162 0.096993    4%          
216         0.000394162 0.0973872   4%          
217         0.000394162 0.0977813   4%          
218         0.000728439 0.0985098   4%          
219         0.000728439 0.0992382   4%          
220         0.000728439 0.0999667   4%          
221         0.000728439 0.100695    5%          
222         0.000728439 0.101424    5%          
223         0.000728439 0.102152    5%          
224         0.000728439 0.10288     5%          
225         0.000728439 0.103609    5%          
226         0.000533424 0.104142    5%          
227         0.000533424 0.104676    5%          
228         0.000533424 0.105209    5%          
229         0.000533424 0.105743    5%          
230         0.000533424 0.106276    5%          
231         0.000533424 0.106809    5%          
232         0.000504899 0.107314    5%          
233         0.00093667  0.108251    5%          
234         0.00093667  0.109188    5%          
235         0.000768096 0.109956    5%          
236         0.000768096 0.110724    5%          
237         0.00120117  0.111925    5%          
238         0.00100653  0.112932    5%          
239         0.000936289 0.113868    5%          
240         0.000172867 0.114041    5%          
