Step        Dt          Time        Progress    
192         0.0001      0.018815    18%         
193         0.0001      0.018915    18%         
194         0.0001      0.019015    19%         
195         0.0001      0.019115    19%         
196         0.0001      0.019215    19%         
197         0.0001      0.019315    19%         
198         0.0001      0.019415    19%         
199         0.0001      0.019515    19%         
200         0.0001      0.019615    19%         
201         0.0001      0.019715    19%         
202         0.0001      0.019815    19%         
203         0.0001      0.019915    19%         
204         0.0001      0.020015    20%         
205         0.0001      0.020115    20%         
206         0.0001      0.020215    20%         
207         0.0001      0.020315    20%         
208         0.0001      0.020415    20%         
209         0.0001      0.020515    20%         
210         0.0001      0.020615    20%         
211         0.0001      0.020715    20%         
212         0.0001      0.020815    20%         
213         0.0001      0.020915    20%         
214         0.0001      0.021015    21%         
215         0.0001      0.021115    21%         
216         0.0001      0.021215    21%         
217         0.0001      0.021315    21%         
218         0.0001      0.021415    21%         
219         0.0001      0.021515    21%         
220         0.0001      0.021615    21%         
221         0.0001      0.021715    21%         
222         0.0001      0.021815    21%         
223         0.0001      0.021915    21%         
224         0.0001      0.022015    22%         
225         0.0001      0.022115    22%         
226         0.0001      0.022215    22%         
227         0.0001      0.022315    22%         
228         0.0001      0.022415    22%         
229         0.0001      0.022515    22%         
230         0.0001      0.022615    22%         
231         0.0001      0.022715    22%         
232         0.0001      0.022815    22%         
233         0.0001      0.022915    22%         
234         0.0001      0.023015    23%         
235         0.0001      0.023115    23%         
236         0.0001      0.023215    23%         
237         0.0001      0.023315    23%         
238         0.0001      0.023415    23%         
239         0.0001      0.023515    23%         
240         0.0001      0.023615    23%         
241         0.0001      0.023715    23%         
242         0.0001      0.023815    23%         
243         0.0001      0.023915    23%         
244         0.0001      0.024015    24%         
245         0.0001      0.024115    24%         
246         0.0001      0.024215    24%         
247         0.0001      0.024315    24%         
248         0.0001      0.024415    24%         
249         0.0001      0.024515    24%         
250         0.0001      0.024615    24%         
251         0.0001      0.024715    24%         
252         0.0001      0.024815    24%         
253         0.0001      0.024915    24%         
254         0.0001      0.025015    25%         
255         0.0001      0.025115    25%         
256         0.0001      0.025215    25%         
257         0.0001      0.025315    25%         
258         0.0001      0.025415    25%         
259         0.0001      0.025515    25%         
260         0.0001      0.025615    25%         
261         0.0001      0.025715    25%         
262         0.0001      0.025815    25%         
263         0.0001      0.025915    25%         
264         0.0001      0.026015    26%         
265         0.0001      0.026115    26%         
266         0.0001      0.026215    26%         
267         0.0001      0.026315    26%         
268         0.0001      0.026415    26%         
269         0.0001      0.026515    26%         
270         0.0001      0.026615    26%         
271         0.0001      0.026715    26%         
272         0.0001      0.026815    26%         
273         0.0001      0.026915    26%         
274         0.0001      0.027015    27%         
275         0.0001      0.027115    27%         
276         0.0001      0.027215    27%         
277         0.0001      0.027315    27%         
278         0.0001      0.027415    27%         
279         0.0001      0.027515    27%         
280         0.0001      0.027615    27%         
281         0.0001      0.027715    27%         
282         0.0001      0.027815    27%         
283         0.0001      0.027915    27%         
284         0.0001      0.028015    28%         
